scenario,threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate,fraud_amount_detected,fraud_amount_missed,missed_fraud_cost,false_positive_cost,total_estimated_cost,fraud_loss_multiplier,review_cost_per_transaction
low,0.52,0.35223517133414506,0.665680473372781,0.46069844158798773,2025,3724,81815,1017,0.06490105101545478,336852.377,160055.211,160055.211,3724.0,163779.211,1.0,1.0
low,0.53,0.36320925189736175,0.6607495069033531,0.46875,2010,3524,82015,1032,0.062473893950169904,333620.915,163286.673,163286.673,3524.0,166810.673,1.0,1.0
low,0.54,0.3713805342798431,0.653517422748192,0.47361524717093506,1988,3365,82174,1054,0.06043056637427891,328983.41599999997,167924.172,167924.172,3365.0,171289.172,1.0,1.0
low,0.55,0.38018922571925085,0.6472715318869166,0.4790171511981511,1969,3210,82329,1073,0.05846626251679254,326058.4,170849.188,170849.188,3210.0,174059.188,1.0,1.0
low,0.56,0.3897014626327389,0.6393819855358317,0.484252458608241,1945,3046,82493,1097,0.05634391122249693,320995.77,175911.818,175911.818,3046.0,178957.818,1.0,1.0
low,0.57,0.39962593516209477,0.6321499013806706,0.48968678380443087,1923,2889,82650,1119,0.05432316185186439,314428.495,182479.093,182479.093,2889.0,185368.093,1.0,1.0
low,0.58,0.40963855421686746,0.6259040105193951,0.4951885565669701,1904,2744,82795,1138,0.052471749020670345,308763.45199999993,188144.136,188144.136,2744.0,190888.136,1.0,1.0
low,0.59,0.42087617344658024,0.6190006574621959,0.5010643959552954,1883,2591,82948,1159,0.05050744516318398,305353.547,191554.041,191554.041,2591.0,194145.041,1.0,1.0
low,0.6,0.43078345273861796,0.6127547666009204,0.5059031076129733,1864,2463,83076,1178,0.048847947076686875,300906.35199999996,196001.236,196001.236,2463.0,198464.236,1.0,1.0
low,0.61,0.4410782442748092,0.6078238001314924,0.5111971246889687,1849,2343,83196,1193,0.047323918221740556,297887.00399999996,199020.58400000003,199020.58400000003,2343.0,201363.58400000003,1.0,1.0
low,0.62,0.45003700962250187,0.5996055226824457,0.5141649048625793,1824,2229,83310,1218,0.04575473295627731,290866.547,206041.04100000003,206041.04100000003,2229.0,208270.04100000003,1.0,1.0
low,0.63,0.45790816326530615,0.5900723208415516,0.5156564205688021,1795,2125,83414,1247,0.044253282306589446,287220.99199999997,209686.596,209686.596,2125.0,211811.596,1.0,1.0
low,0.64,0.4695606140815246,0.5831689677843525,0.5202346041055719,1774,2004,83535,1268,0.0426502297332385,280812.265,216095.32299999997,216095.32299999997,2004.0,218099.32299999997,1.0,1.0
low,0.65,0.4813698630136986,0.5775805391190006,0.5251046025104602,1757,1893,83646,1285,0.04120522459669681,277532.865,219374.723,219374.723,1893.0,221267.723,1.0,1.0
low,0.66,0.4923425978445831,0.5706771860618014,0.5286236297198539,1736,1790,83749,1306,0.03980537587067204,275366.958,221540.63,221540.63,1790.0,223330.63,1.0,1.0
low,0.67,0.5038235294117647,0.5631163708086785,0.5318224153989445,1713,1687,83852,1329,0.03838294893938881,271473.40299999993,225434.185,225434.185,1687.0,227121.185,1.0,1.0
low,0.68,0.5146699266503667,0.5535831689677844,0.5334178017104846,1684,1588,83951,1358,0.03693794380284711,265118.243,231789.345,231789.345,1588.0,233377.345,1.0,1.0
low,0.69,0.5268851415844734,0.5443786982248521,0.5354890864995958,1656,1487,84052,1386,0.035481649563676186,259771.066,237136.522,237136.522,1487.0,238623.522,1.0,1.0
low,0.7,0.535761154855643,0.5368178829717292,0.5362889983579638,1633,1415,84124,1409,0.034409184813899145,256527.77999999997,240379.808,240379.808,1415.0,241794.808,1.0,1.0
low,0.71,0.5493150684931507,0.5272846811308349,0.5380744716538074,1604,1316,84223,1438,0.032964179677357444,250441.971,246465.617,246465.617,1316.0,247781.617,1.0,1.0
low,0.72,0.5645334286735788,0.5190664036817882,0.5408460352800137,1579,1218,84321,1463,0.03157562005396191,243889.367,253018.221,253018.221,1218.0,254236.221,1.0,1.0
low,0.73,0.5755448836350203,0.5121630506245891,0.5420073056183684,1558,1149,84390,1484,0.030559600817331032,240186.917,256720.67100000003,256720.67100000003,1149.0,257869.67100000003,1.0,1.0
low,0.74,0.5869731800766284,0.5036160420775806,0.5421089879688605,1532,1078,84461,1510,0.029464557862295526,233553.807,263353.78099999996,263353.78099999996,1078.0,264431.78099999996,1.0,1.0
low,0.75,0.5993640699523053,0.49572649572649574,0.5426412378553437,1508,1008,84531,1534,0.028403382215147717,229707.74199999997,267199.846,267199.846,1008.0,268207.846,1.0,1.0
low,0.76,0.6108821104699094,0.48717948717948717,0.5420629114850036,1482,944,84595,1560,0.02738736297851684,224197.615,272709.973,272709.973,944.0,273653.973,1.0,1.0
low,0.77,0.6253229974160207,0.47731755424063116,0.5413870246085011,1452,870,84669,1590,0.02621329630507671,218378.30800000002,278529.28,278529.28,870.0,279399.28,1.0,1.0
low,0.78,0.6426966292134831,0.4700854700854701,0.5430036073666223,1430,795,84744,1612,0.025118253350041204,214147.137,282760.451,282760.451,795.0,283555.451,1.0,1.0
low,0.79,0.6559888579387186,0.46449704142011833,0.5438799076212472,1413,741,84798,1629,0.024316727063365733,209512.39,287395.198,287395.198,741.0,288136.198,1.0,1.0
low,0.8,0.6702179176755448,0.4549638395792242,0.542001174858038,1384,681,84858,1658,0.023311996929364084,206046.56,290861.028,290861.028,681.0,291542.028,1.0,1.0
low,0.81,0.686838124054463,0.4477317554240631,0.542089552238806,1362,621,84918,1680,0.02238629051376706,202214.703,294692.885,294692.885,621.0,295313.885,1.0,1.0
low,0.82,0.7003686150605581,0.43721236028928334,0.5383525602104837,1330,569,84970,1712,0.021438005892911574,196093.22,300814.368,300814.368,569.0,301383.368,1.0,1.0
low,0.83,0.7149146945514584,0.4270216962524655,0.5346779172669274,1299,518,85021,1743,0.020512299477314547,188805.81199999998,308101.776,308101.776,518.0,308619.776,1.0,1.0
low,0.84,0.7291428571428571,0.41946088099934253,0.5325542570951586,1276,474,85065,1766,0.019755929601156005,184738.839,312168.74899999995,312168.74899999995,474.0,312642.74899999995,1.0,1.0
low,0.85,0.744311377245509,0.4086127547666009,0.5275891341256367,1243,427,85112,1799,0.018852801390817443,174570.092,322337.496,322337.496,427.0,322764.496,1.0,1.0
low,0.86,0.7578222778473092,0.3980933596318212,0.5219827586206897,1211,387,85152,1831,0.01803998600151274,164818.142,332089.446,332089.446,387.0,332476.446,1.0,1.0
low,0.87,0.7731147540983606,0.3875739644970414,0.5163126779067221,1179,346,85193,1863,0.017215881509578805,157153.136,339754.452,339754.452,346.0,340100.452,1.0,1.0
low,0.88,0.7854223433242506,0.3790269559500329,0.5113082039911309,1153,315,85224,1889,0.01657240265971258,151872.78,345034.80799999996,345034.80799999996,315.0,345349.80799999996,1.0,1.0
low,0.89,0.8021201413427562,0.37310979618671924,0.5093111958716625,1135,280,85259,1907,0.015974080220363285,147688.21899999998,349219.369,349219.369,280.0,349499.369,1.0,1.0
low,0.9,0.8123167155425219,0.36423405654174884,0.5029505220154336,1108,256,85283,1934,0.015398335986272452,142022.12099999998,354885.467,354885.467,256.0,355141.467,1.0,1.0
low,0.91,0.8303501945525292,0.3507560815253123,0.4931823434250058,1067,218,85321,1975,0.014506496878563122,133258.93800000002,363648.65,363648.65,218.0,363866.65,1.0,1.0
low,0.92,0.8473029045643153,0.3356344510190664,0.48080998351777726,1021,184,85355,2021,0.013603368668224564,126713.53,370194.05799999996,370194.05799999996,184.0,370378.05799999996,1.0,1.0
low,0.93,0.8630377524143986,0.3231426692965155,0.4702224348242047,983,156,85383,2059,0.012858287894695251,119433.86,377473.728,377473.728,156.0,377629.728,1.0,1.0
low,0.94,0.8842504743833017,0.3063773833004602,0.455078125,932,122,85417,2110,0.011898714171210531,107707.31,389200.27800000005,389200.27800000005,122.0,389322.27800000005,1.0,1.0
low,0.95,0.8947895791583166,0.2935568704799474,0.4420792079207921,893,105,85434,2149,0.011266524423973539,101977.15400000001,394930.434,394930.434,105.0,395035.434,1.0,1.0
low,0.96,0.9069264069264069,0.2754766600920447,0.42259203227433184,838,86,85453,2204,0.01043113082941037,94930.567,401977.02099999995,401977.02099999995,86.0,402063.02099999995,1.0,1.0
low,0.97,0.9150943396226415,0.25509533201840895,0.3989717223650386,776,72,85467,2266,0.009573159029588737,86664.444,410243.144,410243.144,72.0,410315.144,1.0,1.0
low,0.98,0.9250334672021419,0.22715318869165024,0.3647400369490631,691,56,85483,2351,0.008432959664036305,71940.736,424966.852,424966.852,56.0,425022.852,1.0,1.0
low,0.99,0.9306759098786829,0.1765285996055227,0.29676706272450953,537,40,85499,2505,0.006513812217066865,48737.37999999999,448170.208,448170.208,40.0,448210.208,1.0,1.0
