feature,mean_absolute_shap_value,rank
id_38,0.009702315005446204,104
V128,0.009658148487817575,105
V309,0.00964768312113453,106
id_33,0.009539492994076379,107
id_09,0.008972003374190535,108
C12,0.00894021292779765,109
V61,0.008658852936476858,110
V5,0.008585848671528461,111
V35,0.008531631760551439,112
V102,0.008468851436822964,113
V127,0.00808854118355068,114
V56,0.00806253479870505,115
V129,0.00804685197036694,116
V131,0.007968433669507552,117
V90,0.007958686198025438,118
V67,0.0077639026886342135,119
V293,0.007594608299594256,120
V69,0.0072386521873631865,121
V296,0.00723600421459317,122
V29,0.007166913256673373,123
M2,0.007065255494634281,124
V75,0.007015700288369013,125
D6,0.006963394593117603,126
D9,0.006882613780850079,127
V20,0.006714407013044668,128
C3,0.006633079428216055,129
V71,0.0066080973136486134,130
V124,0.006444808275906325,131
V52,0.006271565993796988,132
V152,0.005920945007744497,133
V282,0.005901188295459179,134
V295,0.005517444830612476,135
id_36,0.0054418743345898595,136
V10,0.005203506107174689,137
V7,0.005145185329425658,138
V257,0.0050930535567604235,139
V64,0.005071958414589365,140
V78,0.005069605019766868,141
V72,0.0048039523579015316,142
V6,0.004707372698549079,143
id_37,0.004613694178690214,144
V261,0.004445994681845321,145
M1,0.00414864061641371,146
V23,0.004119264467687875,147
V73,0.004051147056251163,148
V86,0.004046758331214733,149
V94,0.004044208289674619,150
V297,0.003990118847612697,151
V332,0.003850352938158418,152
V77,0.0037461608888188494,153
V265,0.0037084368168822644,154
V4,0.0037045959179405753,155
V63,0.0036504017675470096,156
id_15,0.003568895117697442,157
V37,0.0035580792281374066,158
V36,0.003500086267460574,159
V95,0.00349091529306952,160
V306,0.0034819307456436946,161
V96,0.0034737236729642973,162
V217,0.0034254663616035638,163
V339,0.00341700747430635,164
V156,0.003399401069920714,165
V164,0.003399329795413602,166
V26,0.0033439479323398398,167
V189,0.0032603399474957465,168
V290,0.003244386201005909,169
V268,0.003212800126192936,170
V44,0.0032029611289153765,171
id_03,0.003168100791202657,172
V221,0.003054093344090385,173
D12,0.0029884256126345766,174
V280,0.002942407715476577,175
V139,0.0029346042541243756,176
V47,0.0028798156258859915,177
V159,0.0027599260296683496,178
D7,0.0026923651949655324,179
id_34,0.002543558601363202,180
D14,0.002530411295397168,181
V50,0.0025273342672887033,182
V25,0.00249567106545328,183
id_11,0.0024711770261152803,184
C7,0.002286949935169105,185
V228,0.002197647893835286,186
V266,0.0021728972928831353,187
V81,0.0021476660785707887,188
V126,0.0020953897237407848,189
V244,0.0020585926268540788,190
V85,0.0020361292689141616,191
id_18,0.0020189167135317805,192
V303,0.002015697669317281,193
V169,0.0019431581574335724,194
V222,0.0019256540629721713,195
V57,0.0019194587994443282,196
V59,0.0019139412655398095,197
V163,0.0019124762029089956,198
V259,0.0019078397856477144,199
V289,0.0018923441833236818,200
V84,0.0018649358591883356,201
V171,0.0018580858668595587,202
V200,0.0018042526664260852,203
V160,0.0017952094219114466,204
V58,0.0017709230445774058,205
V318,0.0017491236785096287,206
V243,0.0017474465003275933,207
V319,0.0017109987158984647,208
V202,0.001696252506233274,209
V335,0.0016902350539984732,210
V279,0.001675047117721533,211
V267,0.0015948929545672097,212
V184,0.0015663578574555382,213
V8,0.0015173757731684722,214
V263,0.0015000529998516565,215
V135,0.0014806215514957632,216
V74,0.0014743749087195587,217
id_32,0.0014742273584729445,218
V276,0.0014570455514014687,219
V321,0.0014265714327375463,220
V51,0.0013890818360875225,221
V118,0.0013735419558309635,222
V230,0.001353878202385431,223
V224,0.0013419790159526503,224
V109,0.001321746628597187,225
V43,0.0013050697170299372,226
V286,0.0012813501898417598,227
V40,0.001279833690757793,228
V300,0.0012770796046964582,229
V3,0.0012745693170070353,230
id_04,0.0012546339562201562,231
V140,0.0012510667090455173,232
V288,0.0012400056138916018,233
V205,0.001209541502520248,234
V209,0.0012062178911922577,235
V177,0.0011881981352623067,236
V108,0.0011687990016525872,237
V207,0.001151650486561266,238
V206,0.0011477648712865023,239
V142,0.0011381586165607586,240
V39,0.0011354647027929446,241
V176,0.001125163315034418,242
V323,0.0011125679493482797,243
V143,0.0011013728413546838,244
V170,0.0010828744764700483,245
V79,0.0010545337763105637,246
V215,0.001053484577679209,247
V246,0.0010461690856094113,248
V304,0.001042616971081467,249
V98,0.0010395493746388335,250
V137,0.0010099260611665765,251
V214,0.0010083120299768779,252
V333,0.0010053427873305432,253
V100,0.0009921161119624837,254
V270,0.0009736346686064887,255
V46,0.000966286371529956,256
V134,0.0009428332416895652,257
V271,0.0009354068567936338,258
V185,0.0009058127146915165,259
V264,0.0009028853230677972,260
V115,0.000901024266033346,261
V203,0.0008853911005554854,262
V324,0.0008785914261000774,263
V331,0.0008622282692434359,264
V250,0.0008552418390136154,265
V298,0.0008380433320950639,266
V149,0.0008153679689680757,267
V42,0.000766352678532409,268
V227,0.0007444818617349256,269
id_16,0.0007333239298574578,270
V301,0.0007332550785029828,271
V105,0.0007221438939506015,272
V277,0.0006981516444351048,273
V292,0.0006952446295830062,274
V229,0.0006932521390377815,275
V262,0.0006800431086712706,276
id_12,0.0006767276975896644,277
V132,0.0006725605572951281,278
id_28,0.0006571128859989889,279
addr2,0.000653403639754894,280
V260,0.0006352762127845987,281
V226,0.0006334021822094655,282
V208,0.0006252509859302033,283
V60,0.0006189557542341693,284
V287,0.0006189524361476893,285
V9,0.0006186578439615383,286
V161,0.0006105403056456756,287
V330,0.0006007943784406962,288
